"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"msigdb.v7.2.hs.SYM","Gene expression signatures (human) from the Molecular Signatures Database (v7.2) excluding KEGG gene sets. Signatures are represented using gene symbols.","3.13",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.2/msigdb_v7.2.xml","7.2","Homo sapiens","9606","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rda","msigdb/msigdb.v7.2.hs.SYM.rda"
"msigdb.v7.2.hs.EZID","Gene expression signatures (human) from the Molecular Signatures Database (v7.2) excluding KEGG gene sets. Signatures are represented using Entrez IDs.","3.13",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.2/msigdb_v7.2.xml","7.2","Homo sapiens","9606","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rda","msigdb/msigdb.v7.2.hs.EZID.rda"
"msigdb.v7.2.mm.SYM","Gene expression signatures (mouse) from the Molecular Signatures Database (v7.2) excluding KEGG gene sets. Signatures are represented using gene symbols.","3.13",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.2/msigdb_v7.2.xml","7.2","Mus musculus","10090","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rda","msigdb/msigdb.v7.2.mm.SYM.rda"
"msigdb.v7.2.mm.EZID","Gene expression signatures (mouse) from the Molecular Signatures Database (v7.2) excluding KEGG gene sets. Signatures are represented using Entrez IDs.","3.13",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.2/msigdb_v7.2.xml","7.2","Mus musculus","10090","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rda","msigdb/msigdb.v7.2.mm.EZID.rda"
"msigdb.v7.2.hs.idf","This data is for internal use within vissE. Inverse document frequencies of words from gene expression signatures (Homo sapiens) from the Molecular Signatures Database (v7.2) excluding KEGG gene sets.","3.14",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.2/msigdb_v7.2.xml","7.2","Homo sapiens","9606","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rds","msigdb/msigdb.v7.2.hs.idf.rds"
"msigdb.v7.2.mm.idf","This data is for internal use within vissE. Inverse document frequencies of words from gene expression signatures (Mus musculus) from the Molecular Signatures Database (v7.2) excluding KEGG gene sets.","3.14",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.2/msigdb_v7.2.xml","7.2","Mus musculus","10090","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rds","msigdb/msigdb.v7.2.mm.idf.rds"
"msigdb.v7.3.hs.EZID","Gene expression signatures (Homo sapiens) from the Molecular Signatures Database (v7.3) excluding KEGG gene sets. Signatures are represented using Entrez IDs.","3.14",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.3/msigdb_v7.3.xml","7.3","Homo sapiens","9606","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rds","msigdb/msigdb.v7.3.hs.EZID.rds"
"msigdb.v7.3.hs.idf","This data is for internal use within vissE. Inverse document frequencies of words from gene expression signatures (Homo sapiens) from the Molecular Signatures Database (v7.3) excluding KEGG gene sets.","3.14",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.3/msigdb_v7.3.xml","7.3","Homo sapiens","9606","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rds","msigdb/msigdb.v7.3.hs.idf.rds"
"msigdb.v7.3.hs.SYM","Gene expression signatures (Homo sapiens) from the Molecular Signatures Database (v7.3) excluding KEGG gene sets. Signatures are represented using gene symbols.","3.14",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.3/msigdb_v7.3.xml","7.3","Homo sapiens","9606","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rds","msigdb/msigdb.v7.3.hs.SYM.rds"
"msigdb.v7.3.mm.EZID","Gene expression signatures (Mus musculus) from the Molecular Signatures Database (v7.3) excluding KEGG gene sets. Signatures are represented using Entrez IDs.","3.14",NA,"XML","https://data.broadinstitute.org/gsea-msigdb/msigdb/release/7.3/msigdb_v7.3.xml","7.3","Mus musculus","10090","TRUE","Broad Institute","Dharmesh D. Bhuva <bhuva.d@wehi.edu.au>","GSEABase::GeneSetCollection","Rds","msigdb/msigdb.v7.3.mm.EZID.rds"
